name,gene,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000169885,CALML6,99,76,50,73,102,24,27,41,6,4
ENSG00000178821,TMEM52,28,17,43,25,26,0,1,1,1,2
ENSG00000142609,CFAP74,127,11,57,30,7,1,0,0,0,0
ENSG00000233542,ENSG00000233542,18,24,27,0,1,0,0,0,0,0
ENSG00000187730,GABRD,193,186,125,18,27,0,2,1,5,1
ENSG00000226969,PRKCZ-DT,4,1,3,0,3,1,0,0,0,0
ENSG00000067606,PRKCZ,462,453,457,378,381,199,170,189,227,144
ENSG00000271806,ENSG00000271806,12,12,3,5,10,10,11,14,11,6
ENSG00000182873,PRKCZ-AS1,241,223,114,123,137,129,156,150,123,122
ENSG00000162585,FAAP20,1548,2431,1335,989,1100,925,1050,1283,1200,951
ENSG00000234396,ENSG00000234396,7,5,1,0,5,2,0,1,0,0
ENSG00000157933,SKI,4834,10418,2741,1563,1464,2767,2844,3531,3109,1499
ENSG00000116151,MORN1,270,386,381,203,133,109,98,141,142,122
ENSG00000272161,ENSG00000272161,6,6,7,0,1,0,1,0,0,0
ENSG00000269896,ENSG00000269896,162,87,126,37,30,50,40,43,52,46
ENSG00000272420,ENSG00000272420,13,30,27,6,4,12,10,9,8,3
ENSG00000157916,RER1,3539,6502,2802,2411,1861,2429,2577,3110,3092,2746
ENSG00000157911,PEX10,426,840,582,348,280,156,158,202,182,183
ENSG00000149527,PLCH2,989,327,684,1561,151,383,505,544,596,310
ENSG00000224387,ENSG00000224387,0,0,0,2,0,0,0,0,0,0
ENSG00000229393,ENSG00000229393,1,0,0,2,1,4,0,0,1,1
ENSG00000157881,PANK4,714,1181,741,446,370,507,615,766,717,534
ENSG00000197921,HES5,7,3,0,0,0,0,0,0,0,0
ENSG00000272449,ENSG00000272449,0,0,2,0,0,0,0,0,0,0
ENSG00000238164,TNFRSF14-AS1,50,28,13,8,7,19,19,26,29,24
ENSG00000157873,TNFRSF14,1980,2260,709,439,519,2561,2394,3648,3135,2986
ENSG00000225931,ENSG00000225931,0,0,0,0,0,2,0,1,0,0
ENSG00000228037,ENSG00000228037,7,11,1,0,0,9,23,22,16,4
ENSG00000157870,PRXL2B,162,321,247,96,85,67,79,126,103,61
ENSG00000142606,MMEL1,20,13,26,3,3,10,0,28,7,8
ENSG00000237058,MMEL1-AS1,0,0,0,0,0,0,0,0,0,0
ENSG00000215912,TTC34,7,14,0,1,0,5,9,0,10,13
ENSG00000285945,ENSG00000285945,0,0,0,0,0,0,0,0,0,0
ENSG00000283259,ENSG00000283259,4,0,3,0,3,0,0,0,0,0
ENSG00000233234,ENSG00000233234,0,0,0,0,0,0,0,0,0,0
ENSG00000231630,ENSG00000231630,0,1,0,0,0,0,0,0,0,0
ENSG00000284745,ENSG00000284745,0,0,0,0,0,0,0,0,0,0
ENSG00000169717,ACTRT2,0,0,0,0,0,0,0,0,0,0
ENSG00000177133,PRDM16-DT,182,88,135,7,5,1,0,1,2,3
ENSG00000142611,PRDM16,337,179,1670,45,28,4,2,1,7,4
ENSG00000283572,MIR4251,1,0,0,0,0,0,0,0,0,0
ENSG00000226286,ENSG00000226286,3,1,0,2,0,0,0,0,0,0
ENSG00000279839,ENSG00000279839,3,1,0,1,0,0,0,0,0,0
ENSG00000272235,ENSG00000272235,5,19,8,1,0,0,0,0,0,0
ENSG00000130762,ARHGEF16,541,992,1252,1160,271,2,2,2,0,3
ENSG00000272088,ENSG00000272088,8,14,6,9,2,3,0,4,2,0
ENSG00000162591,MEGF6,5066,10286,1671,2971,1879,1496,1727,1858,1451,728
ENSG00000207776,MIR551A,0,0,0,0,2,0,0,0,0,0
ENSG00000238260,ENSG00000238260,51,108,21,13,23,4,22,10,8,9
ENSG00000158109,TPRG1L,1965,3238,1724,1480,732,1275,1256,1494,1458,908
ENSG00000116213,WRAP73,1240,2931,1210,969,804,1287,1574,1711,1731,1637
ENSG00000078900,TP73,364,1959,487,604,520,4,23,14,10,20
ENSG00000227589,TP73-AS3,1,6,0,0,1,0,0,1,0,2
ENSG00000235131,TP73-AS2,3,11,2,0,2,0,0,0,0,0
ENSG00000227372,GFOD3P,1741,2002,1179,603,793,836,923,1250,1073,698
ENSG00000276189,ENSG00000276189,0,0,0,0,0,0,0,0,0,0
ENSG00000162592,CCDC27,0,7,2,1,0,0,0,0,1,0
ENSG00000235169,SMIM1,29,41,55,25,7,14,26,15,17,10
ENSG00000130764,LRRC47,1703,3370,1710,1240,1090,914,1036,1361,1487,1047
ENSG00000266075,RN7SL574P,8,7,4,7,3,8,6,6,8,4
ENSG00000272153,ENSG00000272153,97,135,69,73,55,44,65,38,56,42
ENSG00000116198,CEP104,1041,2216,1182,1009,828,869,938,1179,1305,1135
ENSG00000169598,DFFB,530,987,258,247,154,431,476,627,614,494
ENSG00000198912,C1orf174,1332,1890,742,941,514,1447,823,1192,1403,1097
ENSG00000236423,LINC01134,27,57,19,6,9,10,21,16,16,31
ENSG00000233304,LINC01346,0,1,0,0,0,0,0,0,0,0
ENSG00000226374,LINC01345,0,4,0,0,0,0,0,0,0,0
ENSG00000284668,LINC02780,0,0,0,0,0,0,0,0,0,0
ENSG00000284703,ENSG00000284703,0,1,0,0,0,0,0,1,0,0
ENSG00000229280,EEF1DP6,0,0,0,0,0,0,0,0,0,0
ENSG00000235054,LINC01777,0,3,0,0,0,0,0,0,0,0
ENSG00000284694,ENSG00000284694,0,0,0,0,0,0,0,0,0,0
ENSG00000227169,ENSG00000227169,0,0,0,0,0,0,0,0,0,0
ENSG00000232596,LINC01646,0,0,0,0,0,0,0,0,0,0
ENSG00000196581,AJAP1,52,1446,5,0,11,7,1,8,20,9
ENSG00000284739,ENSG00000284739,0,0,0,0,0,0,0,0,0,0
ENSG00000284674,LINC02781,0,0,0,0,0,0,0,0,0,0
ENSG00000231510,LINC02782,0,0,0,0,0,0,0,0,0,0
ENSG00000284616,ENSG00000284616,0,0,0,0,0,0,0,0,0,0
ENSG00000284692,ENSG00000284692,0,0,0,0,0,0,0,0,0,0
ENSG00000284666,ENSG00000284666,0,0,0,0,0,0,0,0,0,0
ENSG00000260972,ENSG00000260972,0,0,0,0,0,0,0,0,0,0
ENSG00000283356,ENSG00000283356,0,0,0,0,0,0,0,0,0,0
ENSG00000236948,ENSG00000236948,1,0,5,1,0,31,5,10,5,0
ENSG00000264341,ENSG00000264341,0,0,0,0,0,0,1,0,0,0
ENSG00000264101,MIR4689,1,1,6,3,0,0,3,1,0,1
ENSG00000131697,NPHP4,1081,2066,646,607,373,728,706,797,745,498
ENSG00000069424,KCNAB2,3519,4398,2320,759,738,10196,12743,11877,17991,12576
ENSG00000116254,CHD5,34,26,24,6,12,155,16,34,25,5
ENSG00000285629,ENSG00000285629,0,0,0,0,0,0,0,0,0,0
ENSG00000116251,RPL22,3896,6718,3185,1710,2514,4673,4082,4316,3771,2958
ENSG00000226944,RNF207-AS1,16,11,10,8,8,3,3,2,3,4
ENSG00000158286,RNF207,1707,2154,754,766,610,121,121,195,249,113
ENSG00000116237,ICMT,2854,5766,2576,1564,1277,465,684,867,939,724
