name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000168077,SCARA3,1169.8,1169.6,0.2,0,-11.7,3.3e-9,1e-4,0,0,2006,842,1444,1071,485,1,0,0,0,0
ENSG00000162458,FBLIM1,3936.4,3935.6,0.8,0,-11.9,3.3e-9,1e-4,0,0,3696,3815,6661,4086,1420,2,0,0,0,2
ENSG00000019144,PHLDB1,4019.4,3985,34.4,0.009,-6.9,3.4e-9,1e-4,0,0,4860,6481,3309,3350,1925,49,42,35,25,21
ENSG00000088756,ARHGAP28,560.4,560.2,0.2,0.001,-10.7,3.4e-9,1e-4,0,0,261,742,467,728,603,0,0,0,1,0
ENSG00000149257,SERPINH1,10366.8,10197.8,169,0.017,-5.9,3.5e-9,1e-4,0,0,10062,16414,9264,4479,10770,152,211,175,180,127
ENSG00000155760,FZD7,1561.6,1553.8,7.8,0.005,-7.6,3.5e-9,1e-4,0,0,1152,1364,2599,1092,1562,11,6,2,9,11
ENSG00000157224,CLDN12,860.4,840,20.4,0.024,-5.4,3.7e-9,1e-4,0,0,454,718,915,1222,891,23,17,15,25,22
ENSG00000130158,DOCK6,2852.6,2818,34.6,0.012,-6.3,3.7e-9,1e-4,0,0,3419,2101,3043,4149,1378,44,38,19,29,43
ENSG00000185222,TCEAL9,1133,1115.6,17.4,0.016,-6,3.8e-9,1e-4,0,0,723,1304,820,1687,1044,19,26,16,9,17
ENSG00000070190,DAPP1,3088,500.4,2587.6,5.167,2.4,3.9e-9,1e-4,0,0,477,608,444,498,475,2438,2834,2316,2478,2872
ENSG00000001617,SEMA3F,3687,3685.4,1.6,0,-11.1,4e-9,1e-4,0,0,2203,2141,3619,3293,7171,0,4,0,3,1
ENSG00000091136,LAMB1,10319.4,10271.8,47.6,0.005,-7.7,4.1e-9,1e-4,0,0,11288,12527,9782,3810,13952,39,39,65,25,70
ENSG00000118785,SPP1,13495.4,13494.8,0.6,0,-14,4.1e-9,1e-4,0,0,5914,16705,27514,11768,5573,0,1,0,0,2
ENSG00000240184,PCDHGC3,731.4,711,20.4,0.029,-5.1,4.3e-9,1e-4,0,0,823,802,887,641,402,27,24,14,19,18
ENSG00000235098,ANKRD65,1014.2,1008.6,5.6,0.006,-7.5,4.4e-9,1e-4,0,0,762,1035,1854,987,405,6,6,6,4,6
ENSG00000187116,LILRA5,2357.8,53,2304.8,43.318,5.4,4.5e-9,1e-4,0,0,65,48,76,22,54,2764,2194,2010,1673,2883
ENSG00000162069,BICDL2,609,607.4,1.6,0.003,-8.5,4.6e-9,1e-4,0,0,785,345,655,657,595,1,4,2,0,1
ENSG00000143061,IGSF3,2061.6,2051.2,10.4,0.005,-7.6,4.7e-9,1e-4,0,0,1922,1529,2577,3427,801,9,17,7,10,9
ENSG00000146555,SDK1,2552.6,2542.6,10,0.004,-8,4.7e-9,1e-4,0,0,1669,1107,4126,2705,3106,4,10,9,12,15
ENSG00000134253,TRIM45,440.4,417.6,22.8,0.055,-4.2,4.8e-9,1e-4,0,0,377,376,411,341,583,20,27,19,22,26
ENSG00000069431,ABCC9,793.2,793,0.2,0,-11.2,5e-9,1e-4,0,0,1242,778,972,309,664,0,0,0,0,1
ENSG00000125733,TRIP10,2870.8,2668,202.8,0.076,-3.7,5.1e-9,1e-4,0,0,3180,2580,1643,2849,3088,218,269,164,192,171
ENSG00000083307,GRHL2,2221,2219.8,1.2,0.001,-10.6,5.1e-9,1e-4,0,0,891,1122,2695,2618,3773,1,2,0,1,2
ENSG00000105792,CFAP69,272.4,271,1.4,0.006,-7.3,5.2e-9,1e-4,0,0,284,250,291,293,237,2,0,2,2,1
ENSG00000018408,WWTR1,2460.6,2441.8,18.8,0.008,-7,5.3e-9,1e-4,0,0,1819,3361,2791,2266,1972,18,17,13,39,7
ENSG00000077942,FBLN1,10653.8,10650.6,3.2,0,-11.6,5.3e-9,1e-4,0,0,19560,14964,7119,4790,6820,4,2,8,2,0
ENSG00000162738,VANGL2,2601,2593.6,7.4,0.003,-8.4,5.3e-9,1e-4,0,0,866,1836,3388,3848,3030,6,10,11,3,7
ENSG00000182287,AP1S2,6474.6,514.4,5960.2,11.577,3.5,5.4e-9,1e-4,0,0,472,695,437,587,381,6245,5765,4664,5253,7874
ENSG00000112379,ARFGEF3,685.6,684.4,1.2,0.002,-8.9,5.4e-9,1e-4,0,0,451,595,901,402,1073,0,2,1,1,2
ENSG00000145555,MYO10,4077.4,4008.8,68.6,0.017,-5.9,5.6e-9,1e-4,0,0,2519,5001,3720,5154,3650,88,94,58,28,75
ENSG00000110841,PPFIBP1,2990,2894.8,95.2,0.033,-4.9,5.7e-9,1e-4,0,0,1834,4151,1855,3843,2791,117,87,90,113,69
ENSG00000065413,ANKRD44,6608.2,616.4,5991.8,9.712,3.3,5.7e-9,1e-4,0,0,691,761,747,392,491,6447,5951,5650,6085,5826
ENSG00000171346,KRT15,33370.8,33369.6,1.2,0,-14.7,5.8e-9,1e-4,0,0,15916,10209,49542,38513,52668,4,2,0,0,0
ENSG00000188153,COL4A5,3554.2,3553.4,0.8,0,-12.1,5.8e-9,1e-4,0,0,1691,2448,3769,6673,3186,4,0,0,0,0
ENSG00000102024,PLS3,5915.8,5904,11.8,0.002,-9,5.9e-9,1e-4,0,0,4107,9527,6087,7623,2176,17,19,12,6,5
ENSG00000135655,USP15,8651.2,1461.6,7189.6,4.918,2.3,5.9e-9,1e-4,0,0,1511,1627,1512,1334,1324,8423,7527,5972,6538,7488
ENSG00000081923,ATP8B1,1588.8,1533.8,55,0.036,-4.8,5.9e-9,1e-4,0,0,1020,1009,1753,1730,2157,45,45,59,47,79
ENSG00000130707,ASS1,1030.6,1030,0.6,0.001,-10.3,5.9e-9,1e-4,0,0,1376,574,923,1592,685,0,2,1,0,0
