protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
FADS2,FADS2,6753400,3364900,4667500,2968700,1810900,2326100,3508000,5942200,5734800,5121900,2269900,2254700,1054600,2436300,6148300,2136500,2273100,1764500,5250500,1750200,4352000,9232100
T2FA,GTF2F1,2918100,7604000,1397500,4724300,4948200,9407400,10895000,1763100,8282800,3179300,956040,3871300,1853400,8388400,3847500,4942700,8386300,8998400,8689300,3581900,6459500,9230000
DGKA,DGKA,4808500,6147600,4369700,2646700,6989200,7037700,3937100,3648500,1932800,1154200,1833800,2822900,2481900,2080400,5697200,2975300,4996400,20794000,4810900,3000000,9638400,8917900
TRPV2,TRPV2,874860,769750,1285300,2840900,718400,2711900,1405700,1800900,641690,1243600,350610,784400,933620,921480,1974600,621890,775350,1111400,416660,994120,1533400,893970
DHRS6,BDH2,15484000,9370600,18467000,14815000,14619000,25735000,25150000,13945000,12790000,17835000,7473900,9416400,25106000,6369700,20724000,12584000,23456000,30235000,28995000,21010000,23384000,14770000
APOA4,APOA4,57707000,22536000,26570000,33271000,32857000,54572000,12545000,41858000,28704000,32429000,45172000,43605000,32144000,37482000,73854000,18386000,6109400,37396000,38482000,17032000,46762000,63096000
ADDA,ADD1,19151000,13423000,29075000,11116000,20212000,26316000,21200000,13125000,10556000,16629000,9096600,15235000,10322000,8238100,35725000,11624000,20372000,29809000,32814000,22117000,24777000,36374000
EI2BE,EIF2B5,7005200,13025000,5085700,9265500,3031800,6146400,9976500,9446300,6839500,3120800,3331000,6331400,5882200,9580400,6894400,4156800,10519000,13209000,4898700,6992300,8795800,13898000
CZIB,CZIB,19322000,18741000,19251000,12500000,23516000,21949000,14781000,21428000,27834000,27963000,11825000,16385000,13008000,2554900,16641000,10650000,23112000,25178000,15462000,16029000,30040000,43059000
PHB1,PHB1,101740000,133450000,77387000,77600000,169390000,194930000,229130000,81121000,112740000,50912000,50496000,89286000,65557000,21053000,122210000,33090000,292290000,314210000,9859200,116000000,164810000,323410000
TM205,TMEM205,16364000,13333000,17212000,15929000,31378000,16298000,26617000,22663000,57399000,19983000,8909700,15176000,9428500,6369100,21505000,11671000,13936000,18220000,21935000,20572000,24667000,15285000
CMBL,CMBL,18808000,8874000,7320600,7264100,24441000,18147000,22694000,2302800,6068900,9438900,10093000,4297400,3225400,3228100,24911000,1521800,37005000,54340000,9876000,5111100,6681200,6426600
PIGT,PIGT,3802200,1413500,1582600,3558600,4325800,10220000,4861900,1763400,2893200,2436700,3975000,1797800,1540700,1066000,7670300,4391400,2220500,1734300,9001500,11399000,12531000,1412700
THYN1,THYN1,5791400,4792600,2885300,5931700,8236100,1725400,2468000,3638000,4788500,5519600,966640,1609000,4044000,1571200,6873000,3757900,7233100,3724000,6036400,3836000,4110300,4465200
RLA1,RPLP1,154080000,234730000,249190000,155720000,235010000,330050000,386130000,138740000,108640000,210640000,91360000,158620000,110740000,55792000,337460000,121480000,478510000,442090000,164540000,144630000,256350000,444530000
ODO1,OGDH,36042000,42633000,30689000,31871000,44067000,54763000,32271000,29256000,61299000,20391000,24683000,34471000,25700000,10444000,41275000,13059000,52496000,69671000,32604000,55803000,43135000,71578000
EPB42,EPB42,2353400,1116600,2367400,2136900,1021900,692280,1082700,2991600,1274600,2092300,3097800,3238100,4762300,6326000,1820200,3859300,1083200,807200,2303700,3211200,2639200,1582900
RL22L,RPL22L1,463490,6978400,1031800,96186,679750,106580,2965800,2165400,2273100,NA,894050,1134200,1226500,627760,3108700,1270500,4592800,22784000,1290900,1000700,1310000,21452
VPS45,VPS45,6479900,7822700,5406900,5726000,5864000,6082500,4220600,3366100,3572400,7542700,2325000,4867800,4114300,879720,7658400,2267300,11623000,10784000,3150700,3318600,6447800,6089300
