protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
HAP28,PDAP1,5320900,1995500,11991000,11720000,91988000,4211400,26383000,28464000,80174000,7145600,1490700,4040800,3512200,5674900,356630,4761800,2966300,3237100
B2MG,B2M,68073000,46773000,130730000,44500000,119490000,68653000,46663000,68063000,160350000,157870000,75123000,56873000,221520000,158740000,96361000,336930000,367630000,305560000
ISOC2,ISOC2,39324000,12316000,125610000,26611000,95528000,53940000,106610000,76452000,149400000,21430000,4656900,25794000,43710000,45948000,7759000,74846000,45689000,21325000
AIMP2,AIMP2,20482000,9978100,32192000,15247000,93082000,26004000,30744000,38620000,75857000,13613000,6101000,19132000,23496000,21043000,8015200,26542000,16482000,10876000
PDIA5,PDIA5,7786900,1945000,20868000,10499000,27941000,17022000,17802000,21524000,33098000,3425100,771240,12482000,8117000,9115200,1528600,17249000,8448800,6181000
PRP19,PRPF19,53171000,23897000,93864000,34017000,225570000,74763000,113830000,115130000,181220000,20298000,8413500,74364000,47655000,66068000,10198000,77630000,54521000,29758000
CNN3,CNN3,26162000,16646000,108990000,26374000,184850000,85268000,59490000,177180000,172720000,37174000,13596000,44866000,47986000,35417000,17985000,35132000,91303000,41804000
NUDC,NUDC,13441000,13971000,27422000,10723000,64569000,27262000,37965000,41938000,54738000,6429200,1735400,34068000,12295000,13654000,2816000,23338000,19577000,10858000
PXL2A,PRXL2A,9615200,3575400,20279000,6373000,56099000,16704000,29812000,13053000,54314000,4716400,974060,9396300,9857000,16706000,2655100,26215000,12213000,6956100
HNRL1,HNRNPUL1,15983000,6027800,36726000,15408000,113950000,20071000,44398000,55469000,63091000,12226000,5709900,23993000,18074000,25096000,6200500,26847000,18719000,21788000
PRP31,PRPF31,12139000,4320500,18959000,6700500,23290000,11134000,13861000,18089000,37184000,3107600,1263800,4003400,8022400,7495000,2061200,14431000,12724000,9346500
LSP1,LSP1,56579000,91735000,97963000,64117000,140130000,129370000,149060000,183760000,148930000,15313000,8711500,81641000,40096000,93607000,15394000,117700000,42913000,40002000
ZCCHV,ZC3HAV1,5407200,3166600,12645000,5832600,30381000,8451000,14162000,17784000,33926000,3962600,1093600,8398500,6710800,9388700,1295500,10066000,10479000,5203700
IF2G,EIF2S3,40536000,17834000,74534000,30320000,158430000,42343000,57588000,60862000,173790000,23871000,9666600,37866000,25164000,38487000,10373000,55992000,34873000,45991000
FCL,GFUS,59486000,12548000,110590000,51888000,36489000,38916000,71197000,40752000,282020000,27561000,16533000,42602000,34167000,36733000,17263000,68557000,35058000,25054000
PDC10,PDCD10,11446000,4328300,19660000,10374000,57380000,15474000,19427000,28309000,65033000,6894300,1504600,15138000,13950000,16472000,2259600,19978000,14444000,9170600
MESD,MESD,12195000,8025900,32893000,11934000,65904000,14909000,21396000,26755000,38247000,6397300,3625300,11796000,6991000,21425000,2072700,27830000,12968000,7094400
RET1,RBP1,4583700,12881000,15431000,8980900,123790000,36315000,13524000,59690000,47217000,8572300,9075100,11076000,22708000,19709000,5529700,22302000,18833000,21866000
RL18A,RPL18A,21403000,10558000,33707000,20062000,83645000,25973000,38118000,58166000,103080000,5739000,2174700,12677000,12445000,19432000,2394400,22910000,12146000,5174600
PIGR,PIGR,10821000,9262100,630570000,66572000,3715600,10934000,6756500,26550000,75986000,60524000,7928900,25067000,36860000,32872000,28631000,66736000,63109000,42960000
SRSF2,SRSF2,22070000,8820600,30395000,12600000,74715000,31259000,33728000,43438000,83116000,9652600,8778200,18722000,17918000,18376000,13280000,28131000,20305000,12401000
GGCT,GGCT,33583000,19723000,46092000,17791000,94798000,29005000,44931000,45454000,136020000,18689000,8157000,20171000,23013000,32995000,11420000,40640000,26062000,21866000
COX5A,COX5A,56638000,29446000,53819000,42706000,75414000,52671000,46620000,56838000,102280000,16959000,9954500,16714000,32357000,54982000,10106000,33847000,28463000,21260000
U2AF2,U2AF2,44776000,26483000,93219000,38044000,277470000,71629000,107950000,109380000,209410000,20427000,9667000,84349000,47250000,60357000,13350000,78535000,68724000,43973000
HDAC1,HDAC1,2227800,244840,13690000,3871100,22912000,12521000,10459000,17418000,23222000,927320,304580,7267500,6610700,7411200,994100,9970800,9927100,3081900
RSSA,RPSA,170080000,29066000,387920000,161600000,603430000,223870000,276530000,298180000,659750000,75898000,32085000,166580000,146790000,213760000,40691000,232580000,180840000,136980000
NUCB2,NUCB2,20840000,6518800,48364000,32013000,42055000,55545000,13554000,33077000,87868000,5917300,1065400,5136800,10813000,25619000,2415000,77230000,9155400,11164000
RL21,RPL21,3744600,1911700,54203000,6937100,81835000,15682000,31974000,50120000,59008000,7401900,1584400,8604500,9568000,23795000,4319700,24551000,24210000,7097400
OLA1,OLA1,14272000,12481000,35077000,14437000,79156000,16888000,32335000,28058000,72873000,8491000,7149100,21902000,12687000,20018000,7478100,23672000,18205000,14155000
ATX10,ATXN10,7287900,8616100,16507000,5142300,26420000,8917200,14481000,11979000,24046000,4830600,1144900,6345600,8400100,4454300,1497100,11247000,9801900,6382000
RBM3,RBM3,38984000,7261400,26426000,23602000,92514000,54263000,39225000,54477000,65401000,13434000,6513800,11949000,17038000,28306000,5562000,44998000,35610000,13057000
RAN,RAN,170330000,65177000,223170000,79579000,449320000,153780000,222100000,268500000,488590000,89006000,54341000,107850000,98051000,156070000,60035000,139720000,128270000,98627000
HCDH,HADH,119570000,9761100,186390000,36918000,104450000,55408000,109580000,66152000,68587000,22149000,4968200,46042000,38806000,62429000,10927000,58415000,55366000,33613000
GALM,GALM,31297000,16095000,36963000,19841000,58138000,37339000,84828000,60078000,145930000,13506000,17262000,30878000,22916000,24695000,17328000,50808000,24253000,14344000
SUCA,SUCLG1,54819000,19548000,120710000,36887000,80210000,81309000,125360000,108140000,190460000,28237000,3008000,60345000,50016000,60585000,15626000,67956000,45646000,28726000
RALY,RALY,14063000,6564900,31311000,11183000,68496000,24683000,36433000,58978000,51797000,6494100,2162000,20872000,13686000,28138000,2858700,28328000,22653000,8705200
HDHD3,HDHD3,5387500,1495500,8872100,3887500,4000500,4267800,14499000,6489900,9533800,1662000,202780,5004600,3323800,4110300,1018400,4398700,3333400,2756000
LYRIC,MTDH,20323000,13564000,37449000,14273000,48482000,29057000,30314000,108950000,92762000,18255000,3771300,27019000,19210000,29400000,5477400,36429000,18775000,16242000
DNJA1,DNAJA1,29318000,11254000,36644000,18952000,84176000,27074000,42316000,44221000,80422000,9184300,2670200,20525000,17943000,25622000,4525200,47910000,21526000,15569000
PSD13,PSMD13,19372000,8546000,19315000,16497000,69568000,21084000,27597000,77149000,105820000,13696000,5199900,19015000,18253000,24489000,10952000,30935000,21925000,17095000
PLRG1,PLRG1,3330700,818950,7378500,1124300,21670000,4202200,8851100,9310600,11504000,1832900,1582400,3678300,1802200,6595400,1232000,6162500,6017500,1290000
STMN1,STMN1,6207800,1698400,3278300,2722400,36567000,5225100,8499300,14309000,10388000,2434300,636070,1358700,1392100,5984600,641410,4740100,2257500,1221900
CBPA3,CPA3,1607800,1522900,26757000,1189500,11779000,29552000,3533600,11945000,4939800,5144000,6232000,82127000,40163000,8635600,9323100,13681000,23313000,21001000
G3BP1,G3BP1,21756000,10000000,35640000,11092000,78958000,26272000,28641000,37696000,68743000,7391100,2762600,25313000,16365000,26654000,2684800,28880000,22048000,9450500
MTAP,MTAP,36009000,5538600,50637000,8404900,40238000,37795000,57920000,33905000,74691000,13468000,4360000,24242000,24041000,13809000,3846500,25435000,25241000,18806000
RAB1A,RAB1A,17476000,5074600,45421000,19003000,78383000,28690000,47056000,27516000,95177000,11329000,4101300,23523000,21306000,30578000,5649000,28921000,22383000,13751000
HSPB1,HSPB1,407810000,197350000,989550000,418920000,2197000000,1371700000,1232600000,1103500000,3682300000,470130000,146600000,425400000,692970000,550860000,220990000,707690000,1233700000,710160000
PRS10,PSMC6,21230000,7136700,55942000,17708000,108260000,24344000,30556000,28028000,88128000,15631000,7269200,18812000,16222000,32886000,9602700,33300000,23358000,12766000
CYTA,CSTA,1452800,10716000,2274100,2946700,4160900,6496000,2610900,9881500,10562000,1349800,400840,3005400,3007700,2550400,524940,4117900,3018500,1862100
TFG,TFG,89424000,34220000,139940000,45546000,470600000,95938000,104430000,139350000,288930000,43095000,12681000,113220000,82819000,96301000,25555000,103880000,103690000,46787000
MDHM,MDH2,326690000,121570000,686490000,164770000,1639300000,284790000,772070000,460190000,1418100000,220160000,88029000,330380000,349710000,435990000,84412000,486150000,371380000,255160000
RL7A,RPL7A,49988000,8649400,90234000,13398000,208990000,24239000,64792000,91933000,156920000,11917000,4456900,18030000,14258000,75978000,17427000,76527000,64918000,33955000
GCP60,ACBD3,16796000,11130000,27723000,18571000,63921000,16268000,27997000,39668000,27934000,10124000,2426800,19362000,16301000,18290000,4997100,17220000,13192000,10250000
VPS36,VPS36,1385400,16366000,5997600,2401400,50180000,3988400,2250400,3772100,5539200,3039900,1020400,4553000,3783000,7811000,2275800,5895900,8223600,4721600
RBM39,RBM39,11722000,3797300,26009000,11619000,47939000,20723000,27145000,33388000,55283000,4542800,10218000,14448000,9334200,14936000,9183000,17600000,16399000,10320000
DFFA,DFFA,2204000,803890,7773300,1905600,20766000,2957000,4509700,4180500,6297400,2962100,342460,741930,2231700,2616000,876570,5071700,4981600,3318800
HSPB6,HSPB6,11107000,1174000,62780000,9972300,1293700,96241000,16165000,36208000,41958000,86261000,29419000,12466000,138840000,35204000,39067000,46678000,138210000,87869000
GLO2,HAGH,3896900,810540,5754700,3591100,5518800,6778400,7710100,5941600,8630300,5216900,5015600,16469000,14029000,14360000,6997500,20003000,12330000,13305000
RBBP7,RBBP7,9038800,4353300,18847000,9759800,53778000,16491000,27797000,34378000,69624000,4077900,1759700,19516000,13727000,19913000,2749400,19516000,20720000,8216000
SIAS,NANS,103760000,22741000,152560000,87931000,100700000,114610000,97705000,162230000,273190000,29746000,8182900,60667000,72060000,73749000,13287000,137270000,68744000,40718000
EIF3B,EIF3B,21504000,11070000,34348000,12861000,58332000,27432000,41017000,55144000,89757000,9709200,1960200,22280000,12440000,25271000,5166100,33492000,27764000,21952000
OXSM,OXSM,3014000,137290,5631800,3146500,4607800,3686500,5368900,6500200,8996900,300080,NA,4651300,1352000,4288500,452980,4192600,2338700,1153900
TWF1,TWF1,8360600,4779200,11900000,10921000,25148000,9927700,11614000,33417000,42961000,1982200,1458200,6698600,3999500,14845000,2336000,22253000,14242000,4983300
SRS11,SRSF11,11279000,10215000,27808000,12730000,57153000,19640000,20299000,35300000,48228000,10130000,1189100,19515000,14311000,13777000,4994000,24337000,9576800,13303000
RDH14,RDH14,2820400,5412700,7409300,3411200,11401000,6502600,7424000,6910500,12042000,1276600,231780,3833600,4402500,5312600,NA,6654900,4805300,2543500
DDX42,DDX42,3847400,322110,7029500,1253000,22351000,5575900,7511900,8810200,12867000,1599200,463650,6272300,4712100,5461300,1009700,3980500,4303500,4150400
CYRIB,CYRIB,64022000,65372000,86947000,41286000,179660000,73784000,90733000,123320000,203070000,26696000,7958700,60231000,52938000,69996000,11849000,94565000,59255000,43883000
DDRGK,DDRGK1,12337000,5599800,20344000,7834500,20812000,12007000,17930000,17151000,26646000,5535100,1378400,5981100,12479000,12744000,2077200,10548000,8506600,5546700
OPLA,OPLAH,1346100,2030400,4945500,1056600,3788100,2151300,2350800,2867900,5082100,3545500,1588000,11836000,3765400,8834100,7665900,2162600,1231400,14956000
HDGF,HDGF,100380000,63787000,198800000,71307000,240400000,110500000,184080000,150380000,294420000,43233000,15127000,111580000,69874000,82178000,22307000,141030000,114480000,54300000
MX1,MX1,14976000,6306800,16316000,9729300,22069000,13714000,12082000,21522000,67939000,2946200,672480,15338000,12694000,28140000,2485500,11021000,7836600,4364100
APOC3,APOC3,30672000,35301000,9304600,27617000,11863000,10367000,19856000,28756000,16923000,34071000,62321000,33734000,67428000,48768000,33122000,35232000,39543000,56820000
GDIR2,ARHGDIB,239740000,377870000,555200000,257740000,463220000,590260000,354250000,689040000,1029200000,133660000,62552000,362420000,301580000,188140000,87089000,410010000,352040000,216430000
SRP09,SRP9,15575000,8269500,14082000,8984200,26017000,11230000,18820000,20774000,54465000,5924300,2715500,7923600,6319700,15124000,3595200,21341000,11582000,8364200
PSB4,PSMB4,49989000,34740000,55374000,37773000,130920000,66556000,73052000,93459000,168790000,22894000,12239000,76257000,30464000,55969000,14772000,41190000,39619000,37563000
FKBP3,FKBP3,24606000,15230000,41868000,17647000,126330000,42417000,53504000,56627000,107260000,14009000,5031100,26930000,27859000,37136000,5042000,55941000,35403000,18922000
ACL6A,ACTL6A,10651000,4378700,14869000,6844300,70922000,10946000,16509000,22896000,39739000,4038100,7310000,22386000,10048000,12255000,1644400,12676000,13953000,7919000
CSN7B,COPS7B,1725200,1020700,3799300,919570,10220000,2271600,2568400,5076100,8547900,673550,588910,3359600,1451900,2657300,573890,2918700,3002900,1652300
TSNAX,TSNAX,11628000,3731800,25371000,6293200,39434000,19309000,13539000,20835000,35434000,9173200,2240300,7464200,10338000,10566000,1769500,14615000,14452000,11438000
ARPC3,ARPC3,15210000,4703000,52535000,13240000,53051000,33924000,25045000,28808000,26718000,5817700,8970300,17527000,12866000,17892000,658220,30418000,16267000,7946900
CATE,CTSE,30933000,8325600,9999100,11031000,6953300,549380,4622100,6923800,19874000,1596500,2173400,6187700,2341100,14098000,3045900,5281100,7288700,4408300
RS12,RPS12,40229000,19472000,55834000,35245000,89900000,48058000,46186000,73929000,125040000,13149000,5572100,43765000,31986000,41878000,7103400,48852000,35799000,21764000
NUDT5,NUDT5,30728000,14645000,59010000,16228000,108490000,39561000,60785000,50762000,97166000,11838000,2548900,35172000,23363000,28812000,2912500,52498000,37192000,30453000
SC31A,SEC31A,21047000,9453100,40722000,21463000,49593000,31182000,28456000,50568000,75258000,10143000,2138500,17740000,16175000,35279000,5062200,24023000,28304000,15667000
GNAI3,GNAI3,29628000,23004000,73988000,24802000,119480000,51491000,59265000,67553000,112600000,14552000,7123600,35718000,23764000,29448000,8504300,69191000,43868000,33069000
LYPA1,LYPLA1,44243000,12504000,76726000,16098000,85627000,23547000,42510000,46110000,195330000,15098000,7328200,33733000,31570000,44091000,6611500,55340000,37664000,24889000
PIR,PIR,464850,365660,1632800,450960,741830,2411400,1363400,1210900,2491100,1408700,469630,3893100,2722100,3257300,1768000,2855700,8029600,2528500
CBX3,CBX3,51206000,39876000,75207000,24836000,143890000,52308000,94538000,100070000,112670000,16103000,7201700,60430000,42317000,56117000,10560000,65488000,45909000,24662000
UB2V2,UBE2V2,10603000,7804400,12659000,5955900,21018000,11569000,10301000,14958000,23433000,3384100,946760,9774800,6503500,9976900,2529300,6820300,10445000,5701000
SMD3,SNRPD3,28775000,15612000,46197000,15031000,84460000,33717000,48406000,49984000,81500000,8025700,2225200,25509000,19493000,27286000,5528800,56624000,33733000,12997000
GOLP3,GOLPH3,9142600,8508200,11642000,7344800,33136000,8781600,8541600,11875000,21386000,1831000,533400,8433600,7950800,18754000,631860,8616400,6133800,4189900
APOL1,APOL1,12215000,11416000,14126000,6468300,8332000,9256000,15002000,13388000,12638000,19334000,33773000,26836000,33098000,19342000,21866000,24992000,22085000,15395000
SCPDL,SCCPDH,14998000,8634900,36778000,7896800,76304000,12983000,47361000,33675000,45617000,7508700,1803800,11455000,10437000,22273000,12884000,42295000,15725000,11281000
ETFA,ETFA,64114000,25346000,164350000,45323000,206210000,61308000,102420000,102330000,257920000,29374000,13022000,48318000,62775000,82623000,19155000,113030000,78525000,44606000
CRYAB,CRYAB,8345700,4811500,28381000,4166700,10339000,54440000,13598000,13952000,6842800,29757000,7348500,49156000,48519000,32854000,14585000,22042000,69177000,29628000
EWS,EWSR1,16779000,3328500,28355000,9965900,78146000,24042000,35021000,44458000,56506000,12808000,4664400,27242000,20416000,15372000,4864800,25811000,19835000,11122000
CCD47,CCDC47,12852000,8007000,20876000,9410600,27582000,14818000,20041000,20681000,55294000,4629800,1398100,14285000,9671900,15060000,1535600,25727000,11231000,7347600
UFM1,UFM1,46650000,33497000,164010000,74041000,195050000,83732000,85648000,118010000,225570000,43509000,22350000,34447000,73299000,57569000,20295000,98827000,84370000,57568000
ETFB,ETFB,57292000,17269000,93428000,29214000,140270000,50734000,71698000,79102000,132930000,17199000,5455100,44624000,35047000,65047000,8532300,83736000,42297000,20618000
PDIA3,PDIA3,584170000,339880000,1314300000,541520000,1607500000,703920000,872880000,749450000,1564500000,232390000,80171000,463060000,536740000,753930000,109360000,942420000,542390000,314720000
RD23B,RAD23B,43091000,23923000,96543000,19904000,150780000,61568000,55778000,75629000,189870000,25746000,8851300,41381000,45377000,51408000,10803000,47798000,71327000,41907000
COX2,MT-CO2,123830000,13732000,181140000,48670000,352170000,126650000,295760000,236740000,474210000,55741000,20526000,62335000,78822000,175650000,36557000,269120000,111620000,80084000
PPIA,PPIA,1427300000,713900000,2104200000,966290000,7834300000,1994900000,2847900000,2259100000,4492300000,1082000000,456840000,1583300000,1567600000,1710600000,517410000,1919100000,1734600000,1271000000
DHRS7,DHRS7,39750000,23459000,123730000,47409000,210920000,64149000,146120000,104320000,131010000,29912000,12001000,51176000,54096000,60288000,12088000,107130000,67085000,34889000
KCY,CMPK1,5411100,1073500,21297000,11192000,21177000,5882900,12264000,5460900,28624000,2435300,1602000,1783400,1407500,9122000,2426500,21618000,9236300,4490500
CIAO1,CIAO1,4056500,1814000,8923900,3296300,24319000,6670200,9095900,15197000,17110000,1633300,1188600,6352100,2980100,9212500,1665600,9517100,7565000,3631600
NDUA4,NDUFA4,42690000,15437000,59613000,27236000,61172000,47740000,57618000,35127000,84749000,10304000,3787200,21473000,22505000,31208000,3321200,59451000,24316000,18631000
RS9,RPS9,36475000,24240000,27139000,27196000,61869000,44016000,28839000,42510000,141340000,10606000,1448600,29184000,26589000,37293000,3501500,52061000,33772000,16233000
PSB1,PSMB1,65244000,48318000,105180000,57274000,133710000,83051000,103560000,123920000,249430000,40813000,20878000,51586000,50939000,72705000,26980000,86167000,69824000,51400000
PLIN3,PLIN3,39204000,42524000,111490000,56307000,154540000,63192000,73118000,128750000,252870000,25799000,10863000,65386000,59236000,70126000,24745000,92622000,56415000,43330000
GMFB,GMFB,14334000,9262500,26411000,11970000,49400000,16568000,27745000,31723000,31169000,9007900,2714000,12517000,12464000,14365000,3782300,18494000,16342000,16731000
PON1,PON1,24549000,26120000,45867000,38779000,16305000,25240000,10087000,27979000,47290000,72426000,64749000,32314000,76889000,59706000,63921000,36199000,47535000,84642000
HABP2,HABP2,1606000,5221800,3598400,2179500,590390,1527600,732960,4959300,3301700,8141800,5258500,3279400,5485000,9692700,2586200,5292500,4043300,4856400
APEX1,APEX1,96441000,50936000,159500000,58953000,263070000,101610000,141810000,183000000,159920000,60022000,21396000,55726000,78777000,75034000,25192000,114900000,100100000,62397000
RBBP4,RBBP4,41297000,28962000,42783000,29116000,157910000,39146000,74706000,86750000,127410000,19214000,4917300,47568000,41671000,46123000,8118700,65306000,43871000,30022000
STRAP,STRAP,19024000,7667600,28345000,13099000,78253000,30239000,27729000,55996000,87618000,9989900,4262000,27061000,22956000,37218000,10284000,21847000,25508000,11273000
TCPA,TCP1,45929000,22061000,71181000,31069000,149320000,57281000,64996000,85374000,172830000,24471000,10911000,33880000,36699000,57316000,14427000,78017000,53755000,33405000
SNX6,SNX6,24629000,17756000,47581000,19885000,71744000,39095000,41662000,75737000,86978000,15724000,4044900,24837000,29465000,29344000,5780000,44118000,34528000,20941000
MIRO2,RHOT2,1412200,NA,1191500,1024500,2018400,916190,2246100,1015500,3983500,392040,223020,2265000,204310,1239900,NA,1300300,509840,649390
TIM44,TIMM44,13331000,1430000,17031000,3306300,19432000,5445400,12681000,10265000,24738000,3440300,831400,7720900,5614100,8837900,1537200,11618000,8658600,4744300
CPSF3,CPSF3,2412500,4229100,1497000,2405000,3247200,1080900,1762100,2098600,2102900,568410,292650,1463900,1431900,1141200,1425400,1294800,1879200,800470
KSYK,SYK,7553700,5112300,5974100,7472800,21608000,7454300,13745000,11710000,43814000,2062500,NA,2694500,6891700,18490000,2678700,17637000,6667400,4414900
STABP,STAMBP,3101600,1461700,4113000,3409400,26226000,4199600,6708200,8836700,14029000,1843700,785310,5433000,5512300,6592900,545840,7067700,5279300,2626400
BACH,ACOT7,3671100,1007200,4823000,711420,15979000,4402900,7930300,9905800,8107600,1578600,603830,3019200,2735100,5575800,1219600,6274100,4940200,2083700
TIF1B,TRIM28,42150000,17960000,72961000,27002000,133720000,47466000,61637000,99991000,155510000,19699000,12095000,47942000,32593000,58688000,14183000,62609000,41682000,37248000
SH3L3,SH3BGRL3,39128000,57220000,42197000,33828000,130360000,99250000,87639000,106800000,185270000,25909000,11683000,54778000,56350000,70398000,15311000,65911000,53099000,35356000
GMPPA,GMPPA,6829900,2397900,21721000,10511000,15187000,15596000,10407000,18001000,26729000,3382700,1374100,8520400,9133400,7807400,1525300,15148000,10517000,5989600
S10AD,S100A13,61944000,2125600,63334000,20791000,335580000,83727000,118540000,82935000,109030000,29635000,9268100,43605000,53609000,78720000,12335000,85684000,80534000,43733000
TOM1,TOM1,11876000,3522000,21813000,7911500,28388000,16039000,20285000,27109000,54592000,9299000,2252300,4388300,11740000,15703000,4279000,29894000,10030000,8147000
CASP7,CASP7,3430800,1341800,11017000,2958000,17765000,1398600,7697700,11311000,20521000,1693400,1075100,5679600,4716700,6761000,1439100,7717800,5468800,4206600
GALE,GALE,18541000,8654000,26100000,34096000,44659000,16368000,26672000,20222000,44417000,6404900,1261100,15151000,9847700,20069000,3746600,33655000,19496000,10515000
DPYL2,DPYSL2,343510000,55143000,391280000,152890000,400630000,363210000,371210000,367290000,410250000,459880000,152260000,1014700000,769020000,624450000,181950000,836360000,980230000,664070000
PGAM1,PGAM1,213100000,280820000,290460000,186100000,983600000,402150000,364530000,544860000,970970000,189030000,75682000,266300000,304310000,275440000,83824000,381910000,320240000,237050000
HNRH1,HNRNPH1,6759900,576380,17397000,2247200,17386000,12406000,18441000,17721000,30377000,1545900,NA,7857300,6790300,10080000,724260,18529000,12866000,3718400
NSDHL,NSDHL,3548500,1862500,6708200,2899500,29919000,4765400,5395100,5129300,29640000,3508100,243410,1869500,6830800,7331600,1826300,11504000,7240300,4970200
UBXN1,UBXN1,6552300,2243000,11737000,4053700,27371000,10810000,13886000,19769000,26892000,6506800,2738000,7065200,8576100,9017700,3821400,5955200,11046000,7509300
PAIP1,PAIP1,30690000,20521000,6912300,15373000,27314000,7439000,6426000,4124300,12892000,2346600,6691100,5905300,7111600,7911500,10991000,11469000,10276000,3851700
ABRAL,ABRACL,24060000,25242000,62641000,24289000,100540000,29919000,61675000,14268000,128120000,11198000,4264100,33679000,29680000,51810000,11204000,33161000,46251000,16673000
LSM2,LSM2,28104000,17744000,53328000,21347000,81954000,38108000,34522000,51206000,83882000,21282000,8055200,30087000,20519000,38849000,8306800,23329000,35722000,21396000
PBDC1,PBDC1,6427900,5556100,8238900,10933000,21724000,13172000,13503000,23413000,51583000,5012800,1617200,10608000,10457000,9867100,4736200,15090000,12755000,8151700
APOM,APOM,3029900,5907200,2153500,2316900,2997200,3243600,2941300,6126300,6883800,7037300,11918000,5239100,5736000,8936100,8289800,7856400,6727300,8354700
RAB2A,RAB2A,45250000,14826000,59034000,29191000,73752000,38424000,42945000,57558000,157240000,17713000,8193000,41778000,29397000,41837000,9079900,46747000,38913000,29596000
DAZP1,DAZAP1,26328000,9186500,50886000,17563000,91682000,33024000,38733000,38129000,75202000,9842600,3891500,26983000,20694000,38125000,6478100,38959000,34467000,14146000
APT,APRT,55425000,23112000,91933000,36219000,184680000,73381000,70645000,89281000,130260000,31458000,14100000,38420000,41304000,62009000,16361000,90651000,48554000,41433000
ROA3,HNRNPA3,70767000,27119000,161370000,47191000,267690000,107670000,221960000,155390000,290520000,40085000,13989000,99044000,70946000,139910000,24987000,115950000,102290000,80717000
COPE,COPE,36112000,20513000,60718000,39200000,106220000,50200000,62766000,97192000,144330000,16033000,5701200,55822000,35878000,49979000,10214000,66091000,45873000,29026000
PGRP1,PGLYRP1,703690,21559000,5406400,1975500,8879900,3451200,6080400,1534500,26182000,1091200,1759400,8583300,8298500,1351600,1137200,2879200,1642300,3331200
GFPT1,GFPT1,68341000,12331000,36368000,26088000,64063000,23631000,34895000,45350000,178680000,6672300,14242000,82844000,14745000,21528000,16872000,30057000,52828000,9978900
RER1,RER1,17139000,8602900,25913000,19296000,52044000,24917000,32778000,42371000,29478000,7712500,2480400,24991000,13193000,22672000,3008500,27396000,16720000,10810000
RAB23,RAB23,7492400,11324000,12802000,8386000,3804500,12039000,2907600,10548000,6992200,7971600,3106800,36674000,21965000,23995000,4904800,13940000,21854000,14408000
AOC3,AOC3,116460000,27724000,459710000,49171000,45731000,784720000,271990000,108200000,135490000,376750000,170370000,593750000,520790000,394700000,227210000,529940000,577780000,499790000
SGT1,SUGT1,8619300,4397800,11374000,7154900,28133000,10040000,12262000,22408000,35677000,5453500,1645900,10216000,7384500,11842000,2770100,13134000,11598000,7999300
ARPC5,ARPC5,54618000,100530000,127040000,69680000,149540000,152540000,131000000,190400000,261260000,39797000,12626000,98925000,84997000,104330000,17856000,137260000,84850000,55678000
NDUBA,NDUFB10,10450000,1585800,12109000,5523100,14962000,12690000,12022000,18081000,31502000,1567100,456500,11009000,6709900,10082000,504260,13183000,11576000,3706400
STT3B,STT3B,8259600,9679300,17876000,12692000,22584000,17036000,15864000,22878000,37001000,4938500,1659900,16496000,10658000,13149000,2295000,19281000,8234000,7704800
MARE1,MAPRE1,30494000,19110000,48899000,31155000,141890000,48280000,63440000,84323000,141320000,18704000,15613000,42652000,39432000,38125000,17981000,53050000,52326000,36231000
NDUAC,NDUFA12,9338800,3187600,16908000,7665400,12385000,13058000,14618000,14297000,34503000,4164600,1642400,3398000,7302900,15256000,1284600,12398000,12447000,7108700
CFAD,CFD,3603600,5026600,15924000,4077200,14646000,19485000,8107100,7695100,34300000,20847000,10076000,45417000,32219000,20571000,6016300,31941000,21042000,30380000
DPYD,DPYD,9997000,360240,20597000,4722000,16212000,12728000,13120000,29572000,43031000,12284000,4303000,31502000,349940,7411200,7159100,5555600,4569300,4555300
AIMP1,AIMP1,24489000,26945000,19642000,20646000,102400000,25628000,41455000,47351000,102140000,12299000,5252300,33279000,16847000,45958000,11178000,36842000,25779000,24975000
GMPPB,GMPPB,12922000,6527500,45156000,30389000,28201000,36076000,29069000,51135000,67829000,8386400,2406600,29113000,18456000,21167000,3805800,33595000,28102000,14162000
SRSF3,SRSF3,76837000,24658000,121900000,48512000,218370000,87850000,111000000,139910000,267700000,42578000,15730000,94457000,76518000,65233000,20990000,104670000,87184000,61068000
NDRG2,NDRG2,9285800,1575300,13960000,5025500,9310500,25670000,11974000,12224000,14065000,17182000,6407400,47729000,21284000,16292000,8873600,25822000,30254000,24914000
VATG1,ATP6V1G1,14610000,6727000,16817000,7350200,20442000,14456000,30489000,17472000,26370000,14230000,5495200,2615600,11781000,14696000,3061200,14699000,8589600,5102100
AP2M1,AP2M1,11144000,2555800,45900000,9217300,72469000,25772000,38789000,28286000,65210000,13525000,3991100,10909000,19677000,30089000,2236800,36140000,25275000,13633000
RB27B,RAB27B,36340000,2415900,15473000,13118000,14736000,10419000,16549000,15949000,21595000,3076400,2531000,2983600,7798100,9012500,5027500,28616000,11561000,5661800
PURB,PURB,5868500,1513200,4874400,4029500,23601000,6199600,11904000,15859000,32717000,4748700,1308300,4303700,5007800,9135400,715810,16048000,10052000,4158900
RAI3,GPRC5A,7150500,2232100,7200500,2662500,26783000,97902,8746000,709910,11419000,32238000,10852000,25257000,9840700,10036000,NA,11427000,18054000,10707000
