protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
NTF2,NUTF2,106320000,36367000,148360000,63150000,196140000,133710000,132200000,136180000,216580000,86738000,49319000,169570000,162020000,143440000,54621000,143960000,168310000,131910000
TALDO,TALDO1,78966000,90036000,162470000,67365000,153010000,142570000,127030000,160330000,294120000,83877000,35906000,180660000,143880000,249410000,63876000,240220000,178080000,166930000
S17A5,SLC17A5,665330,NA,983270,456500,2111200,689340,1904900,1147300,663190,796610,231920,1416300,1371000,3540500,520160,2681900,1652200,1083400
RS25,RPS25,2290800,1769400,6523400,1498900,75947000,5351200,9324400,10534000,27170000,3969500,2160300,14696000,5529500,17823000,4539000,19471000,16202000,7108100
CHM2A,CHMP2A,1747600,NA,2884800,1124400,4781900,742090,2518800,3127700,5992300,1909300,902030,1493300,686830,3206200,652130,2502000,1405600,1769000
MAL2,MAL2,7967900,1175800,9518100,3240500,7365900,2107500,5390100,3487600,15468000,8048000,3515800,20760000,7226900,9755600,3045100,8659300,10853000,10129000
ACSF3,ACSF3,1145400,NA,3057400,1060000,3515800,2275800,2185400,3806200,5432900,683480,NA,2496000,1238200,3029100,350180,2201400,2864400,1627900
PDK3,PDK3,1277900,551440,1557200,1318200,3192300,1815300,2575700,3574900,1228000,755080,271260,2099800,926040,1205100,131410,2579000,1814100,1072800
SEPT4,SEPTIN4,628560,97271,1164600,202710,702360,3146000,1335200,1786600,1266900,1269900,419950,941780,1129200,805580,574920,1778200,1496800,737230
NCK1,NCK1,NA,1713000,6617200,554300,8419900,6533400,2283800,2825800,16104000,2212500,634160,7551600,5374800,7450500,1739300,8142600,7266400,2540000
CDIPT,CDIPT,2867900,1924200,4283900,2199000,4474500,6344600,4424100,4924100,12042000,1254300,646670,6235700,2585100,4244800,980310,4636900,4292500,3689100
RDH11,RDH11,7072600,1109200,10653000,7626600,34828000,12187000,32558000,14998000,12292000,6600800,3014300,17728000,12280000,34018000,5184800,27221000,21908000,11933000
FITM2,FITM2,635360,293830,706870,1117800,1647600,429550,1106500,1573500,3021300,1480400,1702300,2185800,1320100,1369900,2525300,2739500,1366300,1710500
PAWR,PAWR,869790,2350400,2624400,2434600,4219600,2961000,2875200,1625900,4368400,2416500,152420,199150,3323800,1404300,1714900,15770000,3054000,2463700
CLN6,CLN6,1441000,2177700,5693000,566020,4955900,5937100,2670100,3454100,5102200,608800,248610,1885700,1281400,6447800,325940,6434800,2276800,1338100
NCBP3,NCBP3,1186100,499770,1056100,1492200,3075600,925630,1368900,1872800,1543600,3929100,1960200,607920,4007100,832250,1767400,926060,1290300,4637700
TRI25,TRIM25,12717000,5041500,15244000,8223100,43361000,15502000,22772000,30076000,36911000,8370000,9298200,18048000,13854000,23840000,4853900,27568000,22839000,13626000
2A5D,PPP2R5D,3482200,862530,11524000,2749400,15099000,4992200,6782200,7440100,25659000,8305700,991050,11445000,7745800,11380000,6297200,9612300,12370000,6828800
VKOR1,VKORC1,5166600,1368600,21656000,2876500,24894000,16977000,22859000,30604000,16568000,8833800,26410000,6066700,11995000,78124000,2132800,13673000,10781000,60278000
PEDF,SERPINF1,46961000,43520000,58557000,32977000,36573000,63258000,55605000,86819000,90881000,66403000,28823000,71510000,64984000,73676000,14464000,86847000,46080000,38865000
CCDC9,CCDC9,456550,518400,1353200,599000,1990400,1022200,1173800,2111300,1585700,415080,177160,5761400,868230,995870,178140,782020,1620900,927440
BID,BID,5267700,4095700,11750000,4695100,11389000,8930500,7003700,7474400,9454300,3511400,3067700,11297000,6683900,14501000,4683400,14117000,10666000,8094300
SNP23,SNAP23,9700100,6897900,17607000,6334500,25472000,18752000,22543000,23583000,26258000,12876000,3269900,23133000,23154000,35155000,3604900,19220000,16355000,13352000
SPB10,SERPINB10,4790500,5495500,4982200,6704400,9805200,6693900,9115600,9418500,1418300,3853900,1609900,6937400,4639300,7816300,1540500,8299300,5937100,237980
ADK,ADK,32607000,23627000,35456000,125030000,104050000,22908000,65290000,38143000,130140000,34052000,27732000,45535000,27001000,112760000,75607000,85231000,26226000,106140000
