logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,protein
-1.1922258850251133,22.05158894331489,-3.4670793029888185,0.0016740185317442571,0.1580926769491162,-1.1733352236917218,VTA1,3,-3.4188440393563653,0.001779811247922395,0.14981367721642422,VTA1
-1.228979155600296,23.409465722269573,-3.37226941633843,0.0021428609747490023,0.18517835000988622,-1.392178953993355,PSB5,4,-3.395500364830002,0.0018936954017518203,0.15600826799112869,PSMB5
-2.3529376131894573,25.484747433997445,-3.2734839726957294,0.002765220413744533,0.18784093757927775,-1.6176758168516798,UCHL1,6,-3.3834532245101636,0.0019551811587658076,0.1577179468071085,UCHL1
-1.2831952833766636,22.661993009737603,-3.312538362175866,0.002500789748446544,0.18621265203817344,-1.5288483219116689,NID2,5,-3.373784070931368,0.0020059155244605198,0.15850826348390065,NID2
-1.6849449984130729,22.499737472235978,-3.2995978908993657,0.00258559131611605,0.18684974435845914,-1.5583284155286385,GPX7,3,-3.343933442389944,0.0021706559467896476,0.16749545161621554,GPX7
-1.416553970099205,24.825623781278782,-3.206038985658001,0.003286319196493148,0.20125818328492134,-1.770039026265719,NHRF1,10,-3.320116248701947,0.002311348205323404,0.16749545161621554,NHERF1
-1.3975228503034245,23.138347582445082,-3.2473431430672433,0.0029570118408665316,0.19406016691246117,-1.676888623124996,CTHR1,5,-3.319098908676106,0.0023175487359479345,0.16749545161621554,CTHRC1
-1.5277504075693251,24.063459422746174,-3.2849644617212226,0.0026848195814078604,0.18684974435845914,-1.591608683100235,GSTM2,3,-3.3132478313942832,0.002353521325666377,0.16749545161621554,GSTM2
-1.5653696138594704,26.14976751755644,-3.180762072030045,0.003504885021329741,0.2025509672028173,-1.826790625947619,CSPG2,15,-3.3079584654797056,0.0023865011958655764,0.16749545161621554,VCAN
-1.1793608615343096,23.86218919236592,-3.1960140990547328,0.0033713935019446498,0.20125818328492134,-1.7925702134772727,CO1A2,10,-3.3064798506871296,0.0023957995734741923,0.16749545161621554,COL1A2
-2.2635637675670424,19.817598330220214,-3.3345780045118336,0.002362484731910726,0.18621265203817344,-1.4785324614923168,ABCBA,1,-3.297961410343953,0.002450049109487736,0.16749545161621554,ABCB10
